"results.Individual_1.simulation.ID","results.Individual_1.simulation.time","results.Individual_1.simulation.CPlas","results.Individual_1.simulation.Bal","results.Individual_1.simulation.Aurine","results.Individual_1.simulation.Curine","results.Individual_1.conf_intervals.time","results.Individual_1.conf_intervals.Curine_mean","results.Individual_1.conf_intervals.Curine_lower","results.Individual_1.conf_intervals.Curine_upper","results.Individual_2.simulation.ID","results.Individual_2.simulation.time","results.Individual_2.simulation.CPlas","results.Individual_2.simulation.Bal","results.Individual_2.simulation.Aurine","results.Individual_2.simulation.Curine","results.Individual_2.conf_intervals.time","results.Individual_2.conf_intervals.Curine_mean","results.Individual_2.conf_intervals.Curine_lower","results.Individual_2.conf_intervals.Curine_upper","results.Individual_3.simulation.ID","results.Individual_3.simulation.time","results.Individual_3.simulation.CPlas","results.Individual_3.simulation.Bal","results.Individual_3.simulation.Aurine","results.Individual_3.simulation.Curine","results.Individual_3.conf_intervals.time","results.Individual_3.conf_intervals.Curine_mean","results.Individual_3.conf_intervals.Curine_lower","results.Individual_3.conf_intervals.Curine_upper","summary.Individual_1.GTDOSE","summary.Individual_1.dose","summary.Individual_1.weight","summary.Individual_2.GTDOSE","summary.Individual_2.dose","summary.Individual_2.weight","summary.Individual_3.GTDOSE","summary.Individual_3.dose","summary.Individual_3.weight"
1,264500,3.87307315664467e-09,3.16663318111674,4.1084140218962e-05,2.73894268126413e-05,264500,2.7429838318888e-05,2.0873125805743e-05,3.59153558231744e-05,2,264500,3.50930161906574e-09,2.95552420022828,3.83452581525095e-05,2.55635054350063e-05,264500,2.53303763935403e-05,1.97269702704548e-05,3.11559036714277e-05,3,264500,3.98919600304849e-10,0.479204281266911,6.21733456197345e-06,4.1448897079823e-06,264500,4.12862284081029e-06,3.28031624856682e-06,5.2388888350904e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,265000,4.10970204139385e-09,3.17266705959922,4.11623023141719e-05,2.74415348761146e-05,265000,2.74818794759597e-05,2.09128381300975e-05,3.59833176670641e-05,2,265000,3.81390151874329e-09,2.96115581995789,3.84181643549225e-05,2.56121095699484e-05,265000,2.53784056920528e-05,1.97644573248938e-05,3.1214738859096e-05,3,265000,5.15117036289493e-10,0.48011738367975,6.22911905207168e-06,4.15274603471445e-06,265000,4.13646449023124e-06,3.28655702891006e-06,5.24881979546399e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,265500,4.22038269593274e-09,3.17870093808688,4.1240528772311e-05,2.74936858482073e-05,265500,2.75339542199779e-05,2.09524616316135e-05,3.60513112102582e-05,2,265500,3.89516591451371e-09,2.96678743969086,3.84911876186293e-05,2.56607917457529e-05,265500,2.54264894796538e-05,1.98020077533107e-05,3.12738587771366e-05,3,265500,6.13348421121404e-10,0.481030486092193,6.24091341294065e-06,4.16060894196043e-06,265500,4.14428516720675e-06,3.29279124661594e-06,5.25874867683121e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,266000,5.4369022964791e-09,3.18473481655653,4.13181614083802e-05,2.75454409389201e-05,266000,2.75858380265019e-05,2.09920224927776e-05,3.61193649679589e-05,2,266000,4.99618272091516e-09,2.97241905940913,3.85636634439758e-05,2.57091089626505e-05,266000,2.54743923725039e-05,1.98392895578764e-05,3.13328722373895e-05,3,266000,8.50551062501065e-10,0.481943588503585,6.25263295189977e-06,4.16842196793318e-06,266000,4.15207605125544e-06,3.29896050568655e-06,5.26863158622862e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,266500,7.07561168686939e-09,3.1907686950332,4.13955697533026e-05,2.75970465022017e-05,266500,2.76375328907214e-05,2.10313276841315e-05,3.61869467131165e-05,2,266500,6.45543515146613e-09,2.97805067912912,3.86359485423688e-05,2.57572990282459e-05,266500,2.55221517652381e-05,1.98764231979123e-05,3.13915532336863e-05,3,266500,1.05897067946651e-09,0.482856690916831,6.26437987614438e-06,4.17625325076292e-06,266500,4.15986695191461e-06,3.30514801776435e-06,5.27852108761288e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,267000,2.74322220106267e-09,3.19680257352321,4.14724623285464e-05,2.7648308219031e-05,267000,2.76888479371333e-05,2.1070317729975e-05,3.62542349761185e-05,2,267000,2.39769497480175e-09,2.98368229886582,3.87077230652678e-05,2.58051487101785e-05,267000,2.55695519134311e-05,1.99132226542602e-05,3.14499143098526e-05,3,267000,3.22156262215137e-10,0.483769793327688,6.2760481492323e-06,4.1840320994882e-06,267000,4.16760526918834e-06,3.31128257401249e-06,5.28835087915996e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,267500,3.87305540837178e-09,3.20254913328677,4.15501399235667e-05,2.77000932823778e-05,267500,2.77409646504845e-05,2.11098798839774e-05,3.63227248514333e-05,2,267500,3.50931760700707e-09,2.98904575447223,3.87801914951431e-05,2.58534609967621e-05,267500,2.56176922868936e-05,1.99507248252672e-05,3.15092898098949e-05,3,267500,3.98919807224584e-10,0.484639416012218,6.28785397291658e-06,4.19190264861105e-06,267500,4.17545164162829e-06,3.31752329465782e-06,5.2983106333268e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,268000,4.10970632419509e-09,3.2085830117711,4.1628302088079e-05,2.77522013920527e-05,268000,2.77930060888405e-05,2.11495922138064e-05,3.63906867862896e-05,2,268000,3.81392717017572e-09,2.9946773741987,3.88530976810967e-05,2.59020651207311e-05,268000,2.56657243532541e-05,1.99882117788722e-05,3.15681250469296e-05,3,268000,5.15112840205961e-10,0.48555251842457,6.29963845829977e-06,4.19975897219985e-06,268000,4.18329329201163e-06,3.32376408707544e-06,5.30824159035836e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,268500,4.22042254990244e-09,3.21461689025399,4.17065284307547e-05,2.78043522871698e-05,268500,2.78450811200144e-05,2.11892156346908e-05,3.64586802146839e-05,2,268500,3.89518449445628e-09,3.00030899392969,3.89261209658365e-05,2.59507473105577e-05,268500,2.57138091770972e-05,2.00257621472261e-05,3.16272450245433e-05,3,268500,6.13344182074647e-10,0.4864656208362,6.31143280371813e-06,4.20762186914542e-06,268500,4.19111396958404e-06,3.32999828858317e-06,5.31817047279046e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,269000,5.43691014739393e-09,3.220650768725,4.17841611536113e-05,2.78561074357408e-05,269000,2.78969619237806e-05,2.12287765170188e-05,3.6526733797576e-05,2,269000,4.99615530276e-09,3.00594061364264,3.89985967398963e-05,2.59990644932642e-05,269000,2.57617105535278e-05,2.00630440634425e-05,3.16862584565381e-05,3,269000,8.5054610426158e-10,0.487378723247184,6.32315233825445e-06,4.21543489216963e-06,269000,4.19890485089109e-06,3.33616756538587e-06,5.32805337872052e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
