Goutdf.B.time,,Goutdf.B.Plasma,Goutdf.B.Liver,Goutdf.B.Kidney,Goutdf.B.Spleen,Goutdf.B.Lung,Goutdf.B.Brain,Goutdf.B.BAL,conf_intervals.time,conf_intervals.Plasma_mean,conf_intervals.Plasma_lower,conf_intervals.Plasma_upper,conf_intervals.Liver_mean,conf_intervals.Liver_lower,conf_intervals.Liver_upper,conf_intervals.Kidney_mean,conf_intervals.Kidney_lower,conf_intervals.Kidney_upper,conf_intervals.Spleen_mean,conf_intervals.Spleen_lower,conf_intervals.Spleen_upper,conf_intervals.Lung_mean,conf_intervals.Lung_lower,conf_intervals.Lung_upper,conf_intervals.Brain_mean,conf_intervals.Brain_lower,conf_intervals.Brain_upper,conf_intervals.BAL_mean,conf_intervals.BAL_lower,conf_intervals.BAL_upper
1.2,,28.44133224,301.2924876,10.72273264,141.3899043,32.47592942,1.721135312,7.905008817,1.2,28.37801149,24.26241883,32.3910498,301.5304225,265.1792973,339.3427279,10.69935574,9.222963673,12.13780929,141.4911296,121.2510446,161.4204325,32.4167199,29.15062088,35.53288949,1.717315586,1.469553034,1.958849456,7.905008806,7.905008372,7.905009203
1.25,,27.59699283,305.2621097,10.45762399,143.1185491,32.33068067,1.67106887,7.905009349,1.25,27.5358888,23.49656864,31.48311065,305.4857266,268.9094071,343.4994099,10.43495189,8.984273728,11.8542646,143.218715,122.6209173,163.4402241,32.27196223,29.00581249,35.39385383,1.667381383,1.424164629,1.90500915,7.905009337,7.905008867,7.905009767
1.3,,26.80567641,309.1268272,10.20981316,144.8061252,32.20369165,1.624199453,7.905009888,1.3,26.74662496,22.77767494,30.63203837,309.3361987,272.552574,347.5034406,10.18780081,8.760900733,11.5894064,144.9052089,123.9752134,165.4090676,32.14540404,28.87719779,35.27461219,1.620634107,1.381540829,1.854595966,7.905009875,7.905009369,7.905010341
1.35,,26.05936428,312.8910439,9.976638504,146.4534895,32.09147621,1.580044181,7.905010435,1.35,26.00222577,22.10905119,29.82963382,313.086251,276.1149812,351.4454013,9.955235975,8.550616794,11.34034101,146.5514745,125.2950965,167.3223816,32.03356992,28.75587664,35.17139177,1.576592647,1.341998295,1.807118429,7.905010421,7.905009877,7.905010922
1.4,,25.35160893,316.5586927,9.755952454,148.061506,31.9912545,1.538214529,7.905010989,1.4,25.29627335,21.46994206,29.06889247,316.7397944,279.5973217,355.4559238,9.735117464,8.351343983,11.10473694,148.1583809,126.4992964,169.1756912,31.93369337,28.64464258,35.08713929,1.534870113,1.304281969,1.762154287,7.905010974,7.905010391,7.905011511
1.45,,24.67722901,320.133287,9.546034027,149.6310397,31.90081594,1.498398356,7.90501155,1.45,24.62361553,20.8654704,28.34413349,320.3003603,283.0014023,359.3591284,9.525756837,8.161844186,10.88071288,149.726798,127.7331797,170.9822267,31.84357707,28.54252234,35.0130557,1.495156422,1.268587919,1.71936227,7.905011534,7.90501091,7.905012109
1.5,,24.0320521,323.6180067,9.345500073,151.1629525,31.81840282,1.460344319,7.905012118,1.5,23.98008713,20.28713943,27.65076475,323.7711149,286.3295802,363.1589512,9.325733873,7.98087539,10.66661531,151.257591,128.9857549,172.7433091,31.76146588,28.45377905,34.94240372,1.457200086,1.23449201,1.678463426,7.905012101,7.905011436,7.905012714
1.55,,23.41270262,327.015769,9.15323139,152.6580992,31.74261431,1.423849008,7.905012692,1.55,23.36233217,19.72872639,26.98501683,327.1549836,289.5840274,366.8108302,9.13397859,7.807256147,10.46129664,152.7516178,130.2115415,174.4601957,31.6859684,28.37343994,34.87879669,1.42079945,1.201627182,1.639236798,7.905012675,7.905011967,7.905013327
1.6,,22.81644307,330.3292615,8.968322547,154.117325,31.67233507,1.388747474,7.905013273,1.6,22.76760886,19.18675099,26.34392493,330.4546608,292.766762,370.3265248,8.949551868,7.640473034,10.26371628,154.2097266,131.3653616,176.1340845,31.61596682,28.29807183,34.82084441,1.385789082,1.169727667,1.601486354,7.905013255,7.905012504,7.905013948
1.65,,22.24103363,333.5609864,8.790034011,155.5414634,31.60667168,1.354904743,7.90501386,1.65,22.1936846,18.66407438,25.7248796,333.6726522,295.8539831,373.7505329,8.771733893,7.479612697,10.07316928,155.6327533,132.4905824,177.8382393,31.55057093,28.22700151,34.76762919,1.352033789,1.138992577,1.565080888,7.905013842,7.905013045,7.905014576
1.7,,21.68463047,336.7132976,8.617757067,156.9313345,31.54490675,1.322209646,7.905014454,1.7,21.63873227,18.15909996,25.12586305,336.8113027,298.8251777,377.0845878,8.599922352,7.324341176,9.88897061,157.0215204,133.5891758,179.5292715,31.4890709,28.15950775,34.71840008,1.319425272,1.109325715,1.529890124,7.905014434,7.905013592,7.905015211
1.75,,21.14572091,339.7883826,8.450998972,158.287744,31.48647021,1.290571161,7.905015054,1.75,21.10124278,17.67049456,24.54977825,339.8728323,301.8490905,380.3317767,8.433610603,7.170885394,9.710424766,158.3768357,134.6608647,181.196722,31.43089776,28.09512232,34.67255401,1.287870602,1.080646709,1.495974199,7.905015033,7.905014144,7.905015853
1.8,,20.62302209,342.7884017,8.289326793,159.6114836,31.4308918,1.259911532,7.905015659,1.8,20.57995149,17.19715527,23.99415767,342.8593383,304.8081072,383.4951478,8.2723899,7.021778374,9.537257195,159.699492,135.7484905,182.8257366,31.37559019,28.03346905,34.62951345,1.257295081,1.052889073,1.463396104,7.905015637,7.905014701,7.905016502
1.85,,20.11549685,345.7152945,8.132414551,160.9033275,31.37781152,1.230168642,7.90501627,1.85,20.07381014,16.73816048,23.4504489,345.7728265,307.4939275,386.5770571,8.115927505,6.877247072,9.368936509,160.990266,136.8269281,184.4172219,31.32278234,27.97424565,34.58886072,1.227633944,1.025997244,1.431662846,7.905016247,7.905015263,7.905017158
1.9,,19.62226683,348.5709266,7.979985726,162.1640346,31.32693829,1.201289839,7.905016887,1.9,19.58191962,16.2921183,22.91630901,348.615215,310.1170019,389.5792021,7.963907802,6.73703829,9.206645478,162.2499184,137.8293757,185.9720591,31.27217264,27.91546247,34.55029898,1.198833593,0.999923952,1.400340341,7.905016863,7.905015829,7.90501782
1.95,,19.14254714,351.3572024,7.831769421,163.3943488,31.27801898,1.173227262,7.905017509,1.95,19.10351768,15.8587468,22.39379541,351.3883398,312.6788818,392.5020118,7.816106024,6.600931015,9.056380304,163.4791937,138.723443,187.4911055,31.22351926,27.85843041,34.51350503,1.170849795,0.974537904,1.369839628,7.905017484,7.905016401,7.905018488
2,,18.67566384,354.0759369,7.68753795,164.5949977,31.23084844,1.145939928,7.905018136,2,18.63794882,15.43953245,21.88380387,354.0939751,315.2285717,395.34984,7.672300353,6.468729977,8.910072747,164.67882,139.6234693,188.9751952,31.17662581,27.80330096,34.47825662,1.143639126,0.950046834,1.34002633,7.905018111,7.905016976,7.905019163
