"X1.simulation.time","X1.simulation.CL","X1.simulation.CK","X1.simulation.CBr","X1.simulation.CS","X1.simulation.Clu","X1.conf_intervals.time","X1.conf_intervals.CL_mean","X1.conf_intervals.CL_lower","X1.conf_intervals.CL_upper"
224,0.00343054134973477,5.98181855543411e-06,8.89848409001539e-06,0.000861019918222689,7.57857063148601e-05,224,0.00342766728809736,0.00337289242312819,0.00347435643082926
225,0.00343132152042006,5.91314834916105e-06,8.96398457449389e-06,0.000861290152702716,7.57073740350556e-05,225,0.00342845508661335,0.00337365269208348,0.00347529571667667
226,0.00343210169110535,5.84447814288799e-06,9.02948505897239e-06,0.000861560387182743,7.56290417552511e-05,226,0.003429213079801,0.00337455255813785,0.00347605529096219
227,0.00343286841695753,5.7769913433815e-06,9.09516618422038e-06,0.000861825964657742,7.5552059390273e-05,227,0.00342977075542512,0.00337544141989594,0.003476136766519
228,0.0034329264478438,5.77188348239969e-06,9.17036912375311e-06,0.000861846065227821,7.55462328242555e-05,228,0.00343001440853301,0.00337553112701447,0.0034762182420758
229,0.00343298447873008,5.76677562141788e-06,9.24557206328584e-06,0.0008618661657979,7.55404062582379e-05,229,0.00343011435484547,0.00337559772788139,0.00347629293697044
230,0.00343304250961635,5.76166776043608e-06,9.32077500281857e-06,0.000861886266367979,7.55345796922204e-05,230,0.00343017836275186,0.00337566432874832,0.00347636513839541
231,0.00343310054050262,5.75655989945427e-06,9.3959779423513e-06,0.000861906366938058,7.55287531262028e-05,231,0.00343023815845397,0.00337573092961524,0.00347643733982038
232,0.0034331585713889,5.75145203847246e-06,9.47118088188404e-06,0.000861926467508138,7.55229265601853e-05,232,0.00343029608386176,0.00337579753048216,0.00347650954124535
233,0.00343321660227517,5.74634417749065e-06,9.54638382141677e-06,0.000861946568078217,7.55170999941677e-05,233,0.00343034853088419,0.00337586413134908,0.00347652199313048
234,0.00343327463316145,5.74123631650884e-06,9.6215867609495e-06,0.000861966668648296,7.55112734281501e-05,234,0.00343038549150206,0.00337592964729806,0.00347652314006144
235,0.00343328217579978,5.74057215795001e-06,9.69622569394597e-06,0.000861969281066741,7.55105157281924e-05,235,0.00343040564813443,0.00337593901083362,0.0034765242869924
236,0.00343328263519468,5.74053142815609e-06,9.77078549970463e-06,0.000861969439986787,7.55104691642663e-05,236,0.00343041464818068,0.00337593957017151,0.00347652543392336
237,0.00343328309458958,5.74049069836217e-06,9.8453453054633e-06,0.000861969598906834,7.55104226003402e-05,237,0.00343041846142556,0.0033759401295094,0.00347652629462825
238,0.00343328355398447,5.74044996856825e-06,9.91990511122197e-06,0.000861969757826881,7.55103760364142e-05,238,0.00343041982928648,0.00337594068884729,0.00347652688588393
239,0.00343328401337937,5.74040923877433e-06,9.99446491698064e-06,0.000861969916746928,7.55103294724881e-05,239,0.00343042056936724,0.00337594124818517,0.00347652747713962
240,0.00379692083641063,5.74036850898041e-06,1.00690247227393e-05,0.000861970075666975,7.5510282908562e-05,240,0.00379405746725998,0.00373957817115943,0.00384016443203166
241,0.00370513331196942,1.26156764236929e-05,1.11259867310856e-05,0.000923403099963002,9.02510125266663e-05,241,0.00370236723533217,0.00363245445574937,0.00376491268819452
242,0.0037458197638005,9.02720932280476e-06,1.06537653052505e-05,0.000937500708874425,8.61563898984053e-05,242,0.00374184662233492,0.00367461801028842,0.00380058589862593
243,0.00376181302406265,7.61772398430117e-06,1.05190582779151e-05,0.000943041103776119,8.45482182989024e-05,243,0.00375852827184997,0.0036959930580783,0.00381333840233674
244,0.00377077663077911,6.82829865053405e-06,1.04803759521461e-05,0.000946145704314759,8.36475732361566e-05,244,0.00376708614976708,0.00370634754794015,0.00382009093357816
245,0.00377155092416321,6.76011483997444e-06,1.0553300707532e-05,0.00094641387957351,8.35697851493998e-05,245,0.00376843995708047,0.00370795512424585,0.00382088907150164
246,0.0037723252175473,6.69193102941483e-06,1.0626225462918e-05,0.000946682054832261,8.3491997062643e-05,246,0.00376919768329221,0.00370880166938675,0.00382123063277432
247,0.0037730995109314,6.62374721885522e-06,1.06991502183039e-05,0.000946950230091013,8.34142089758863e-05,247,0.00376995463167699,0.00370964821452765,0.00382157219404701
248,0.0037738738043155,6.55556340829561e-06,1.07720749736898e-05,0.000947218405349764,8.33364208891295e-05,248,0.0037707092141339,0.00371046832407741,0.00382192257441184
249,0.00377464809769959,6.48737959773599e-06,1.08449997290757e-05,0.000947486580608515,8.32586328023727e-05,249,0.00377146278212863,0.0037113330372668,0.00382273037479008
250,0.00377542239108369,6.41919578717638e-06,1.09179244844616e-05,0.000947754755867266,8.3180844715616e-05,250,0.00377219254655836,0.00371217527850087,0.00382353630030878
